"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
217475.129,170021.3451,2544508.2492,4,1,-12.579,12.473,-34.861,34.6844100702739,18.0579065530055,39.1036608388524,17.4752699654887
217475.428,170022.42926,2544508.1606,4,1,-15.498,14.651,-38.32,39.3918698861242,19.2754453093737,43.855013453424,18.5630670059063
217475.728,170023.5237,2544508.0694,4,1,-16.216,16.388,-43.682,43.061672002833,24.1936919117448,49.3927355387409,19.6613324293638
217475.929,170024.2452,2544508.0193,4,1,-17.253,14.077,-45.438,43.7862211943437,25.361518399339,50.6007883535425,20.3845724866107
217476.229,170025.3212,2544507.9313,4,1,-14.42,11.268,-46.597,46.4269813173685,18.7275208919043,50.0618081275537,21.4641703578771
217476.528,170026.38496,2544507.8478,4,1,-13.765,9.165,-40.223,39.185504432452,18.8642100649428,43.4897939636416,22.5312062123571
217476.828,170027.45892,2544507.7646,4,1,-14.577,6.836,-34.556,33.62144177907,17.9704093914581,38.1226567935657,23.6083910577796
217477.129,170028.51962,2544507.6793,4,1,-11.834,5.358,-28.18,27.8471612654206,13.6894020854697,31.0300518852289,24.6725459482471
217477.329,170029.2359,2544507.6144,4,1,-12.887,3.705,-22.436,22.6919300014861,12.9712066827899,26.137633596024,25.3917649020219
217477.629,170030.29242,2544507.5233,4,1,-11.863,4.305,-15.38,14.562727673497,13.5548941975792,19.894928851343,26.4522074123906
217477.931,170031.3551,2544507.4327,4,1,-9.751,8.197,-9.594,9.6592174708912,12.6892538728654,15.9473397781574,27.5187544527126
217478.228,170032.40026,2544507.3346,4,1,-10.746,14.711,-12.641,14.6741658885637,16.6238916465102,22.1739693785303,28.5685092937892
217478.528,170033.46596,2544507.2434,4,1,-12.582,17.511,-18.857,21.1911505386456,19.273386647096,28.6448650546656,29.6381082784067
217478.729,170034.17613,2544507.1794,4,1,-13.148,20.527,-26.058,28.689163909471,21.2174190507589,35.6825867476,30.3511610364484
217479.029,170035.23162,2544507.0832,4,1,-13.734,23.95,-30.214,34.4506079317048,22.0967568918146,40.928120552989,31.4110268236698
217479.329,170036.2861,2544506.9973,4,1,-11.953,26.642,-35.209,38.3403723620182,24.9471421437765,45.7421474572412,32.4690111816362
217479.629,170037.31192,2544506.9124,4,1,-12.386,26.205,-38.36,43.3564529008451,20.7803419812283,48.0791495453071,33.4983564833815
217479.929,170038.30592,2544506.8303,4,1,-10.976,27.591,-42.533,47.804488143129,20.1375981530429,51.8728440130286,34.4957512126256
217480.229,170039.24873,2544506.7651,4,1,-12.905,23.42,-40.815,44.6009742374774,19.7902184694329,48.7944633129621,35.4408155153568
217480.629,170040.42826,2544506.6732,4,1,-14.264,16.607,-35.283,38.1492021062236,16.3945909573403,41.522815824556,36.6239273999979
217480.929,170041.23692,2544506.6142,4,1,-16.08,15.433,-34.729,37.3550435429844,17.5341966426108,41.2655707581999,37.434740929062
217481.429,170042.37535,2544506.5122,4,1,-16.537,14.303,-33.343,38.5474082175759,10.1931911935153,39.8723441372588,38.5777692247072
217481.929,170043.27685,2544506.3754,4,1,-18.462,9.002,-31.207,36.6115460459639,7.4399592152285,37.3598487282805,39.4898183741554
217485.529,170047.20041,2544501.5742,5,4,8.371,-5.795,-15.316,14.6389038209975,-11.132745255308,18.3911805493829,0.440894980537163
217486.03,170047.2456,2544500.43,5,4,9.2,-6.357,-17.093,18.0654682172265,-9.53210134715216,20.4260152256871,1.58641708107244
217486.429,170047.25081,2544499.4795,5,4,9.178,-6.684,-15.989,16.7015099155412,-10.2771215591272,19.6101927833461,2.53709869387923
217486.829,170047.22511,2544498.5016,5,4,12.528,-6.224,-15.18,14.9694146739654,-14.2140066244135,20.6427071868009,3.51554524238954
217487.229,170047.17872,2544497.5015,5,4,15.585,-5.121,-13.905,15.3331615473495,-15.0784630504201,21.5050201348429,4.51672067961576
217487.628,170047.11182,2544496.484,5,4,20.105,-5.444,-9.632,10.8905216459992,-20.1995079959395,22.9482806545501,5.53658089434342
217488.029,170047.03442,2544495.4287,5,4,18.21,-7.194,-8.176,9.57651217080925,-18.9339675356842,21.21802799508,6.59486842851817
217488.329,170046.97994,2544494.6208,5,4,19.074,-9.397,-7.103,7.981591830846,-20.9491738702454,22.4181554548986,7.40471437077916
